,Rank,Last Year's Rank,Average Annual pay per player,% change from last year's survey,Total Payroll,Rank of Total Payroll,Average player 5 year earnings,% change over last 5 years,Team,League
0,1,1,8109912,0.6,202747812,3,31660772.0,265.0,Manchester City,EPL
1,2,5,8031948,12.3,208830659,2,35789052.0,5.0,New York Yankees,MLB
2,3,2,7778336,4.1,241128402,1,26226200.0,79.0,Los Angeles Dodgers,MLB
3,4,3,7586438,3.7,189660944,5,36995660.0,9.0,Real Madrid,La Liga
4,5,4,7446562,2.4,193610600,4,37975600.0,12.0,Barcelona,La Liga
5,6,16,6814067,23.6,102211009,51,24108812.0,65.0,Brooklyn Nets,NBA
6,7,9,6689311,8.7,173922091,7,29919552.0,36.0,Bayern Munich,Bundesliga
7,8,12,6566775,8.9,164169367,8,27985256.0,38.0,Manchester United,EPL
8,9,19,6055463,14.5,78721016,76,24709880.0,51.0,Chicago Bulls,NBA
9,10,8,6053686,-3.0,151342140,12,30990544.0,3.0,Chelsea,EPL
10,11,15,5928172,5.1,148204312,15,25892620.0,38.0,Arsenal,EPL
11,12,20,5867808,13.5,88017120,67,24425648.0,10.0,NY Knicks,NBA
12,13,14,5824233,2.0,163078526,9,24444264.0,31.0,Detroit Tigers,MLB
13,14,11,5791002,-5.5,179521056,6,27555684.0,43.0,Philadelphia Phillies,MLB
14,15,22,5717792,13.9,154380395,11,26406068.0,25.0,Boston Red Sox,MLB
15,16,17,5568543,1.3,83528143,72,23380396.0,54.0,Miami Heat,NBA
16,17,23,5490339,9.6,148239158,14,21697572.0,89.0,San Francisco Giants,MLB
17,18,35,5336821,16.2,149431000,13,20990372.0,139.0,Juventus,Serie A
18,19,7,5182926,-17.6,77743891,78,29883100.0,-7.0,LA Lakers,NBA
19,20,21,5171351,0.2,129283779,20,24648884.0,25.0,Liverpool,EPL
20,21,18,5087128,-6.2,71219789,86,26422812.0,-5.0,Boston Celtics,NBA
21,22,26,5024550,2.3,70343704,87,20886632.0,47.0,Oklahoma City Thunder,NBA
22,23,38,4994377,13.1,69921277,88,21167692.0,15.0,Indiana Pacers,NBA
23,24,33,4964375,6.5,12220000,218,21698248.0,26.0,Mumbai Indians,IPL
24,25,58,4937720,35.3,123443000,22,17336800.0,236.0,Roma,Serie A
25,26,24,4929758,-0.3,73946375,84,21818264.0,43.0,LA Clippers,NBA
26,27,6,4872750,-26.0,155928000,10,26529984.0,47.0,Milan,Serie A
27,28,30,4803879,1.3,67254306,98,21512296.0,37.0,Golden State Warriors,NBA
28,29,41,4798812,9.4,134366735,16,15697292.0,185.0,Washington Nationals,MLB
29,30,55,4793619,26.4,129427700,19,15125188.0,163.0,Toronto Blue Jays,MLB
30,31,10,4640714,-25.1,129940000,18,25662988.0,49.0,Internazionale,Serie A
31,32,66,4605265,39.4,64473705,106,20708116.0,3.0,New Orleans Pelicans,NBA
32,33,13,4581088,-19.9,68716326,90,22709544.0,57.0,Memphis Grizzlies,NBA
33,34,54,4512792,18.1,67691881,94,18810272.0,12.0,Minnesota Timberwolves,NBA
34,35,42,4488293,5.2,67324401,96,23446072.0,-3.0,Denver Nuggets,NBA
35,36,43,4485331,7.0,67279965,97,24320660.0,-23.0,Dallas Mavericks,NBA
36,37,45,4437526,7.3,62125365,120,18964192.0,12.0,Sacramento Kings,NBA
37,38,31,4415397,-6.8,128046500,21,23172448.0,5.0,LA Angels,MLB
38,39,32,4390750,-7.1,10808000,222,22543976.0,-9.0,Kolkata Knight Riders,IPL
39,40,28,4387500,-9.4,11475000,221,22398168.0,-11.0,Royal Challengers Bangalore,IPL
40,41,29,4296094,-11.2,10575000,225,20270952.0,4.0,Delhi Daredevils,IPL
41,42,25,4291217,-13.1,64368261,107,21936512.0,32.0,San Antonio Spurs,NBA
42,43,50,4267204,5.1,64008065,110,20217132.0,-3.0,Washington Wizards,NBA
43,44,48,4217772,2.5,11680000,220,20206524.0,-11.0,Chennai Super Kings,IPL
44,45,40,4179418,-5.0,62691270,115,20714200.0,-8.0,Toronto Raptors,NBA
